"SLDLST10,C,3","LTR06,N,32,10","LTD06,N,32,10","LOT06,N,32,10"
"08A",77,66,143
"08A",4,11,15
"08A",38,73,111
"08A",20,32,52
"08A",34,10,44
"08A",72,89,161
"08A",28,36,64
"08A",6,18,24
"08A",30,84,114
"08A",59,135,194
"08A",19,20,39
"08A",24,37,61
"08A",33,77,110
"08A",22,75,98
"08A",8,9,17
"08A",104,142,246
"08A",109,148,257
"08A",37,106,143
"08A",54,84,138
"08A",51,87,138
"08A",11,11,22
"08A",230,501,731
"08A",17,95,112
"08A",27,84,111
"08B",71,88,161
"08B",398,391,797
"08B",0,0,0
"08B",300,261,564
"08B",229,235,466
"08B",53,82,137
"08B",49,39,88
"08B",187,203,393
"08B",31,36,67
"08B",54,43,97
"08B",99,83,182
"08B",181,121,302
"08B",253,270,525
"08B",50,55,105
"08B",577,712,1293
"08B",195,204,404
"08B",0,0,0
"08B",282,224,507
"08B",172,137,309
"08B",165,177,342
"08B",118,66,185
"08B",18,23,41
"08B",172,127,299
"08B",206,177,383
"08B",79,76,155
"08B",100,131,231
"08B",7,29,36
"08B",82,97,179
"08B",148,176,325
"08B",196,224,421
"08B",8,22,30
"08B",184,320,505
"08B",91,120,211
"08B",174,169,343
"08B",43,76,119
"08B",502,668,1171
"08B",294,356,650
"08B",342,331,673
"08B",516,711,1229
"08B",212,232,446
"08B",195,309,505
"08B",181,144,326
"27A",70,71,141
"27A",118,104,222
"27A",110,40,150
"27A",69,81,150
"27A",5,18,23
"27A",132,122,254
"27A",89,60,149
"27A",79,53,132
"27A",80,62,142
"27A",150,157,308
"27A",5,24,29
"27A",113,84,197
"27A",135,104,239
"27A",84,93,177
"27A",88,118,206
"27A",239,160,399
"27A",99,96,195
"27A",24,55,79
"27A",181,142,323
"27A",1172,763,1936
"27A",561,602,1164
"27A",761,753,1515
"27A",743,730,1475
"27A",312,563,877
"27A",99,57,156
"27A",434,686,1123
"27A",314,294,608
"27A",210,193,404
"27A",3,3,6
"27A",106,106,212
"27A",101,68,169
"27A",158,186,344
"27A",34,38,72
"27A",103,97,200
"27A",68,66,134
"27A",62,72,135
"27A",143,129,272
"27A",113,102,215
"27A",115,103,219
"27A",130,195,326
"27A",150,233,384
"27A",87,130,218
"27A",30,50,80
"27A",88,151,239
"27A",68,97,165
"27A",78,84,162
"27A",76,111,187
"27A",64,133,198
"27A",79,178,258
"09A",469,386,855
"09A",38,23,61
"09A",56,32,88
"09A",27,11,38
"09A",19,15,34
"09A",32,23,55
"09A",52,27,79
"09A",98,47,145
"09A",593,405,1002
"09A",97,40,137
"09A",315,315,630
"09A",304,437,743
"09A",402,376,779
"09A",635,432,1068
"09A",548,474,1023
"09A",326,315,642
"09A",1176,490,1666
"09A",691,396,1088
"09A",452,327,780
"09A",658,386,1046
"09A",63,32,95
"09A",29,79,108
"09A",48,39,87
"09A",133,83,216
"09A",528,271,800
"09A",46,22,68
"09A",32,17,49
"15A",0,0,0
"15A",0,0,0
"15A",148,98,246
"15A",586,293,880
"15A",803,485,1288
"15A",223,219,443
"15A",140,237,379
"15A",148,263,412
"15A",0,0,0
"15A",432,443,877
"15A",0,0,0
"15A",98,245,344
"15A",41,112,154
"15A",267,488,756
"15A",404,729,1139
"15A",559,410,969
"15A",489,404,894
"15A",365,397,762
"15A",554,605,1161
"15A",186,145,332
"14B",102,181,283
"14B",140,128,268
"14B",396,439,835
"14B",423,334,757
"14B",319,334,654
"14B",0,0,0
"14B",238,333,572
"14B",332,310,642
"14B",418,513,932
"14B",63,105,168
"14B",714,866,1581
"14B",415,565,981
"14B",231,591,833
"14B",280,319,599
"14B",226,143,369
"14B",310,372,682
"14B",428,600,1030
"14B",16,29,45
"14B",343,353,696
"14B",73,214,288
"14B",160,218,380
"14B",0,0,0
"14B",642,682,1330
"14B",50,41,91
"14B",19,21,40
"14B",404,972,1378
"14B",299,428,728
"14B",0,0,0
"13A",17,7,24
"13A",94,21,115
"13A",176,23,201
"13A",97,19,116
"13A",240,62,304
"13A",33,7,40
"13A",103,25,128
"13A",61,13,74
"13A",802,243,1046
"13A",236,62,298
"13A",351,50,401
"13A",119,25,144
"13A",35,39,74
"13A",54,26,80
"13A",48,63,111
"13A",196,108,304
"13A",159,69,228
"13A",109,48,157
"13A",184,119,303
"13A",78,34,112
"13A",62,36,98
"13A",129,83,212
"13A",51,34,85
"13A",336,295,631
"13A",85,40,125
"13A",50,30,80
"13A",3,15,18
"13A",79,40,119
"13A",160,122,282
"13A",101,86,187
"13A",82,97,179
"13A",129,122,253
"13A",254,245,499
"13A",308,301,610
"13A",100,50,151
"13A",13,7,20
"13A",146,91,237
"13A",38,18,56
"13A",0,0,0
"13A",68,18,86
"13A",58,38,96
"13A",71,31,102
"13A",71,52,124
"13A",70,49,119
"13A",81,53,134
"13A",79,41,120
"13A",10,13,23
"13A",606,455,1061
"13A",124,57,182
"13A",371,230,601
"13A",94,40,134
"13A",89,39,128
"13A",650,179,830
"13A",286,63,349
"13A",71,22,93
"13A",194,80,274
"13A",224,59,283
"13A",91,10,101
"13A",107,23,130
"13A",232,51,283
"13A",105,8,113
"13A",63,15,78
"13A",191,27,218
"13A",34,6,40
"13A",65,13,78
"13A",110,14,124
"13A",139,33,172
"13A",34,6,40
"13A",1210,356,1566
"13A",324,85,409
"13A",19,6,25
"13A",97,25,122
"20B",10,86,96
"20B",30,45,75
"20B",24,110,134
"20B",273,314,587
"20B",29,46,75
"20B",22,34,56
"20B",153,271,424
"20B",49,70,119
"20B",23,65,89
"20B",45,94,139
"20B",32,49,81
"20B",11,66,77
"20B",56,102,158
"20B",30,119,149
"20B",370,628,998
"20B",419,700,1123
"20B",82,45,127
"20B",63,97,160
"20B",134,300,434
"20B",44,72,116
"20B",17,73,90
"20B",20,63,84
"20B",60,50,110
"20B",39,55,94
"20B",59,60,119
"20B",336,591,927
"20B",42,47,89
"20B",1,21,22
"20B",24,59,83
"20B",60,141,201
"20B",62,41,103
"20B",38,60,98
"20B",59,62,121
"20B",106,130,236
"20B",219,278,497
"20B",201,218,420
"20B",58,58,117
"20B",33,34,67
"20B",63,49,112
"20B",43,50,93
"20B",94,70,164
"20B",55,66,121
"20B",54,39,93
"20B",127,128,255
"20B",53,42,95
"20B",44,61,105
"20B",45,35,80
"20B",58,49,108
"20B",102,99,202
"20B",64,43,107
"20B",98,114,213
"20B",57,114,171
"20B",37,45,82
"20B",30,70,100
"20B",251,205,456
"20B",81,120,201
"20B",65,46,111
"20B",39,54,93
"20B",42,65,107
"20B",42,25,67
"20B",55,51,106
"20B",523,507,1030
"20B",50,24,74
"20B",58,49,107
"20B",58,50,109
"20B",219,251,470
"20B",52,86,138
"20B",61,66,127
"20B",52,81,133
"20B",41,44,85
"20B",57,44,101
"20B",182,206,389
"20B",52,50,102
"20B",47,38,85
"20B",81,120,201
"20B",47,63,110
"20B",0,0,0
"30B",292,438,730
"30B",201,354,556
"30B",80,156,236
"30B",76,108,184
"30B",80,114,194
"30B",125,96,221
"30B",400,411,811
"30B",335,167,502
"30B",128,176,304
"30B",214,152,366
"30B",52,86,138
"30B",513,610,1123
"30B",131,233,364
"30B",495,505,1000
"30B",293,366,659
"30B",319,330,649
"30B",606,666,1277
"30B",7,1,8
"30B",26,16,43
"30B",187,127,314
"30B",1362,999,2363
"30B",135,124,259
"30B",384,343,728
"30B",138,245,383
"30B",141,189,331
"30B",239,411,650
"30B",219,355,574
"30B",87,124,212
"30B",1165,1237,2405
"30B",498,495,995
"28B",0,0,0
"28B",159,78,237
"28B",62,52,114
"28B",363,309,674
"28B",29,35,65
"28B",91,99,190
"28B",58,57,116
"28B",91,118,209
"28B",191,142,333
"28B",225,98,323
"28B",38,23,61
"28B",19,14,33
"28B",37,48,86
"28B",96,53,149
"28B",15,6,21
"28B",111,66,177
"28B",162,77,239
"28B",481,339,821
"28B",144,57,201
"28B",312,184,496
"28B",194,95,289
"28B",662,352,1014
"28B",334,157,491
"28B",179,82,262
"28B",203,57,260
"28B",190,83,273
"28B",255,100,355
"28B",454,247,702
"28B",356,192,548
"28B",115,48,163
"28B",15,6,21
"28B",128,51,180
"28B",65,55,120
"28B",97,50,147
"28B",248,109,357
"28B",45,21,66
"28B",50,55,105
"28B",88,52,140
"28B",353,335,689
"28B",340,350,690
"28B",165,121,287
"28B",96,98,194
"28B",401,262,664
"28B",10,21,31
"28B",34,50,84
"28B",81,60,141
"28B",129,83,212
"28B",269,217,487
"28B",871,536,1410
"28B",144,83,227
"28B",133,153,287
"28B",55,45,100
"28B",180,84,266
"28B",41,30,71
"28A",274,402,677
"28A",81,117,199
"28A",248,323,571
"28A",243,359,603
"28A",96,84,181
"28A",59,141,200
"28A",125,105,235
"28A",129,49,178
"28A",406,413,823
"28A",413,439,856
"28A",326,267,595
"28A",219,186,408
"28A",404,366,771
"28A",232,149,383
"28A",145,63,210
"28A",233,187,422
"28A",374,300,677
"28A",177,175,352
"28A",104,150,256
"28A",279,292,573
"28A",457,414,873
"28A",352,336,689
"28A",116,141,257
"28A",490,380,870
"28A",159,280,439
"28A",417,431,852
"28A",108,188,296
"28A",183,223,406
"28A",257,297,554
"28A",229,222,454
"28A",132,272,404
"28A",160,325,486
"28A",123,231,357
"28A",149,88,237
"19A",311,271,582
"19A",329,256,585
"19A",626,427,1056
"19A",977,646,1624
"19A",672,473,1147
"19A",422,193,616
"19A",918,553,1472
"19A",623,234,858
"19A",294,273,569
"19A",380,305,685
"19A",602,418,1020
"19A",468,286,754
"19A",2003,1850,3858
"19A",883,647,1534
"19A",683,477,1160
"29B",359,427,787
"29B",366,517,884
"29B",588,635,1228
"29B",775,724,1501
"29B",371,379,753
"29B",592,603,1196
"29B",605,536,1142
"29B",583,639,1223
"29B",409,458,869
"29B",747,684,1435
"29B",860,675,1537
"29B",527,484,1011
"29B",161,212,374
"29B",138,203,342
"29B",461,512,976
"29B",120,73,193
"29B",0,0,0
"30A",586,608,1197
"30A",320,395,717
"30A",300,388,692
"30A",1,0,1
"30A",129,169,298
"30A",487,430,917
"30A",222,271,493
"30A",245,422,667
"30A",298,427,725
"30A",314,361,677
"30A",124,163,289
"30A",451,485,940
"30A",213,350,563
"30A",527,741,1272
"30A",393,461,856
"30A",542,553,1097
"30A",1184,882,2068
"06B",108,324,433
"06B",13,60,73
"06B",646,1525,2176
"06B",300,675,975
"06B",532,1271,1809
"06B",190,517,708
"06B",462,959,1422
"06B",310,859,1171
"06B",148,672,821
"06B",271,718,993
"06B",294,788,1083
"06B",382,897,1281
"06B",166,443,610
"06B",251,1075,1328
"06B",510,1277,1789
"10A",56,41,97
"10A",136,118,254
"10A",401,276,678
"10A",233,175,408
"10A",191,65,256
"10A",167,91,258
"10A",59,37,96
"10A",17,26,43
"10A",149,118,267
"10A",38,67,105
"10A",274,165,440
"10A",118,110,228
"10A",174,217,391
"10A",265,185,450
"10A",85,116,201
"10A",38,48,86
"10A",211,163,375
"10A",31,35,66
"10A",86,85,171
"10A",227,197,424
"10A",301,243,547
"10A",370,258,628
"10A",407,297,706
"10A",555,331,892
"10A",294,257,552
"10A",356,242,598
"10A",386,286,672
"10A",457,277,734
"10A",177,164,342
"10A",338,174,512
"10A",65,70,135
"10A",202,207,409
"10A",205,138,344
"10A",68,48,116
"10A",62,50,112
"10A",91,90,181
"10A",63,80,143
"10A",54,40,94
"10A",192,125,317
"10A",296,261,558
"10A",35,52,87
"10A",108,71,179
"10A",123,115,238
"10A",93,95,188
"10A",150,152,302
"10A",119,159,278
"10A",45,39,85
"10A",132,115,248
"10A",65,81,146
"10A",12,8,20
"10A",90,86,176
"10A",19,22,41
"10A",42,16,58
"39B",296,566,864
"39B",675,1044,1721
"39B",351,1235,1587
"39B",311,1083,1394
"39B",442,1033,1475
"39B",452,1368,1821
"39B",260,986,1248
"39B",449,1305,1754
"39B",200,533,735
"39B",353,869,1224
"39B",374,924,1298
"39B",405,944,1352
"39B",167,156,323
"39A",23,79,102
"39A",675,1012,1687
"39A",220,265,486
"39A",564,724,1289
"39A",388,530,918
"39A",517,765,1282
"39A",578,732,1312
"39A",215,342,557
"39A",407,1100,1511
"39A",257,627,885
"39A",261,673,935
"39A",109,341,451
"39A",211,570,783
"39A",281,682,966
"39A",250,642,892
"39A",298,673,974
"39A",377,714,1094
"39A",414,740,1157
"36A",1137,583,1720
"36A",682,371,1053
"36A",583,391,974
"36A",1331,697,2029
"36A",886,523,1409
"36A",852,557,1409
"36A",925,524,1450
"36A",1245,747,1995
"36A",1104,570,1676
"36A",764,709,1476
"36A",327,305,632
"36A",946,777,1727
"31A",149,288,440
"31A",88,138,226
"31A",105,160,265
"31A",51,89,141
"31A",151,508,660
"31A",134,460,596
"31A",135,532,668
"31A",84,344,433
"31A",198,432,633
"31A",113,385,502
"31A",135,554,690
"31A",84,363,449
"31A",139,394,534
"31A",124,400,525
"31A",50,108,158
"31A",121,379,500
"31A",309,685,996
"31A",70,107,177
"31A",98,77,175
"31A",132,182,314
"31A",53,61,114
"31A",249,427,677
"31A",0,2,2
"31A",121,188,311
"31A",114,121,235
"31A",93,105,198
"31A",116,165,281
"31A",226,332,560
"31A",117,401,518
"31A",245,570,817
"31A",159,377,537
"31A",253,505,759
"37B",882,0,908
"37B",1137,0,1175
"37B",1072,0,1108
"37B",1031,0,1070
"37B",1250,0,1284
"37B",885,0,914
"37B",923,0,945
"37B",1229,0,1268
"37B",425,0,441
"37B",1339,0,1381
"37B",1467,0,1516
"37B",1401,0,1437
"37B",723,0,752
"37B",379,0,394
"38B",509,563,1074
"38B",456,679,1138
"38B",973,973,1946
"38B",424,435,859
"38B",1238,1061,2301
"38B",537,685,1223
"38B",667,738,1406
"38B",790,568,1358
"38B",483,538,1023
"38B",656,577,1235
"38B",897,734,1631
"38B",652,568,1221
"37A",648,641,1291
"37A",578,664,1244
"37A",628,641,1269
"37A",585,756,1342
"37A",393,497,890
"37A",1244,906,2151
"37A",319,466,788
"37A",703,685,1388
"37A",468,528,996
"37A",768,702,1474
"37A",690,700,1392
"37A",763,721,1484
"37A",452,527,979
"38A",339,459,798
"38A",647,679,1330
"38A",781,634,1415
"38A",902,761,1664
"38A",522,675,1197
"38A",390,491,883
"38A",586,688,1274
"38A",967,1005,1972
"38A",1028,905,1934
"38A",618,573,1191
"38A",764,731,1498
"57B",668,524,1227
"57B",501,381,909
"57B",649,424,1111
"57B",476,436,941
"57B",718,544,1302
"57B",872,585,1484
"57B",718,460,1204
"57B",267,149,430
"57B",352,365,761
"57B",335,246,595
"57B",241,222,481
"57B",234,193,449
"57B",222,190,428
"57B",218,156,386
"57B",570,531,1132
"57B",684,564,1293
"57B",628,421,1085
"57B",727,545,1312
"57B",555,308,893
"57B",0,1,1
"57B",102,99,210
"57A",0,0,0
"57A",308,672,1050
"57A",662,1469,2281
"57A",394,541,971
"57A",404,456,911
"57A",242,405,701
"57A",397,725,1181
"57A",326,805,1203
"57A",473,739,1270
"57A",391,663,1100
"57A",354,574,983
"57A",256,481,780
"57A",50,87,147
"57A",115,219,364
"57A",280,549,895
"57A",131,262,422
"34B",843,512,1357
"34B",765,582,1348
"34B",686,309,996
"34B",915,652,1571
"34B",799,483,1282
"34B",944,510,1455
"34B",1366,611,1977
"34B",960,784,1745
"34B",51,30,81
"34B",522,559,1081
"34B",1036,644,1682
"34B",820,590,1411
"34B",1217,725,1943
"34B",0,0,0
"34B",0,0,0
"36B",709,588,1297
"36B",365,286,652
"36B",569,309,879
"36B",564,509,1073
"36B",87,75,162
"36B",1258,851,2111
"36B",266,246,513
"36B",35,28,63
"36B",27,20,47
"36B",196,372,568
"36B",76,71,148
"36B",162,116,279
"36B",508,590,1100
"36B",30,29,59
"36B",204,158,362
"36B",564,427,995
"36B",659,355,1014
"36B",402,289,691
"36B",359,359,719
"36B",762,505,1269
"36B",825,460,1287
"36B",198,172,370
"36B",130,113,244
"36B",252,172,426
"36B",103,96,200
"36B",255,242,497
"36B",118,123,241
"36B",32,37,69
"36B",158,161,319
"36B",266,219,486
"36B",165,145,310
"06A",0,109,124
"06A",0,315,326
"06A",0,261,272
"06A",0,128,130
"06A",0,143,150
"06A",0,175,186
"06A",0,209,231
"06A",0,517,540
"06A",0,98,104
"06A",0,97,114
"06A",0,87,88
"06A",0,86,93
"06A",0,118,121
"06A",0,410,418
"06A",0,492,496
"06A",0,71,72
"06A",0,105,109
"06A",0,217,226
"06A",0,291,300
"06A",0,285,290
"06A",0,602,616
"06A",0,599,616
"06A",0,65,70
"06A",0,385,389
"06A",0,319,323
"06A",0,0,0
"06A",0,0,0
"06A",0,0,0
"06A",0,0,0
"06A",0,0,0
"06A",0,75,79
"06A",0,53,55
"06A",0,767,771
"06A",0,16,16
"06A",0,236,241
"06A",0,303,305
"06A",0,6,6
"06A",0,13,13
"06A",0,37,39
"06A",0,0,0
"06A",0,221,221
"06A",0,0,0
"06A",0,797,822
"06A",0,108,110
"06A",0,317,325
"06A",0,33,35
"06A",0,168,170
"06A",0,584,600
"06A",0,575,585
"06A",0,791,820
"06A",0,186,188
"06A",0,59,60
"06A",0,642,658
"06A",0,0,0
"06A",0,233,252
"06A",0,91,91
"06A",0,0,0
"06A",0,103,106
"06A",0,119,122
"06A",0,69,76
"06A",0,65,65
"06A",0,0,0
"06A",0,198,198
"06A",0,209,217
"06A",0,0,0
"06A",0,0,0
"06A",0,20,20
"06A",0,51,51
"06A",0,76,77
"06A",0,81,81
"52A",761,792,1554
"52A",1143,896,2040
"52A",432,394,826
"52A",571,615,1188
"52A",1252,1039,2297
"52A",799,655,1457
"52A",723,541,1266
"52A",1134,693,1828
"52A",853,649,1504
"52A",1137,689,1827
"52A",850,769,1621
"52A",0,0,0
"48A",103,83,189
"48A",0,0,0
"48A",896,622,1519
"48A",919,716,1638
"48A",794,653,1449
"48A",0,0,0
"48A",804,456,1261
"48A",523,542,1065
"48A",424,357,781
"48A",417,386,804
"48A",442,449,893
"48A",835,849,1684
"48A",772,571,1344
"48A",474,575,1050
"48A",1355,922,2283
"51A",0,0,0
"51A",578,665,1246
"51A",278,558,839
"51A",413,507,920
"51A",477,441,919
"51A",491,661,1153
"51A",484,619,1107
"51A",261,427,689
"51A",275,476,752
"51A",0,0,0
"51A",0,0,0
"51A",806,576,1384
"51A",528,667,1198
"51A",427,552,982
"51A",178,359,539
"51A",0,0,0
"51A",537,515,1054
"51A",916,770,1687
"48B",460,344,805
"48B",357,324,681
"48B",471,339,811
"48B",530,303,833
"48B",537,361,900
"48B",321,332,654
"48B",491,335,826
"48B",535,329,866
"48B",1063,572,1635
"48B",620,334,956
"48B",641,327,970
"48B",689,442,1131
"48B",728,465,1199
"48B",405,325,730
"48B",612,409,1021
"48B",697,409,1111
"49A",879,596,1479
"49A",843,527,1373
"49A",471,284,756
"49A",527,442,970
"49A",818,418,1236
"49A",1185,674,1861
"49A",839,566,1408
"49A",694,481,1176
"49A",751,498,1251
"49A",409,322,731
"49A",714,457,1174
"49A",462,402,866
"49A",686,476,1163
"49A",804,512,1316
"49A",697,416,1113
"49B",682,349,1031
"49B",794,511,1305
"49B",948,526,1474
"49B",850,758,1609
"49B",867,591,1461
"49B",713,663,1378
"49B",548,651,1199
"49B",478,495,974
"49B",390,375,766
"49B",389,375,765
"49B",483,556,1040
"49B",369,385,755
"49B",408,402,811
"47A",547,606,1156
"47A",582,529,1112
"47A",528,774,1303
"47A",432,539,972
"47A",426,584,1011
"47A",1014,1203,2221
"47A",1392,1403,2800
"47A",1016,1211,2233
"47A",968,1257,2227
"47B",463,564,1028
"47B",670,883,1556
"47B",509,720,1232
"47B",172,265,438
"47B",360,559,921
"47B",469,572,1042
"47B",664,752,1420
"47B",331,621,954
"47B",476,622,1099
"47B",728,717,1448
"47B",494,641,1136
"47B",593,730,1324
"47B",689,756,1445
"47B",683,867,1550
"21A",69,43,112
"21A",80,37,117
"21A",119,113,232
"21A",60,56,116
"21A",285,198,484
"21A",53,31,84
"21A",76,30,106
"21A",60,42,102
"21A",127,60,187
"21A",8,10,18
"21A",15,35,50
"21A",91,69,160
"21A",89,28,117
"21A",52,28,80
"21A",177,94,271
"21A",74,28,102
"21A",101,46,147
"21A",83,38,121
"21A",135,75,210
"21A",61,25,86
"21A",79,68,147
"21A",34,20,54
"21A",758,500,1261
"21A",1096,655,1758
"21A",83,44,127
"21A",832,599,1432
"21A",348,220,568
"21A",62,29,91
"21A",75,20,96
"21A",20,54,74
"21A",412,368,782
"21A",70,29,99
"21A",66,38,104
"21A",64,26,90
"21A",58,68,126
"21A",14,16,30
"21A",67,34,101
"21A",85,20,105
"21A",79,48,127
"21A",53,8,61
"21A",33,6,39
"21A",34,11,45
"21A",49,30,79
"21A",53,36,89
"21A",58,38,96
"21A",122,106,228
"21A",350,278,628
"21A",420,291,712
"21A",69,21,90
"21A",412,321,734
"21A",67,27,94
"21A",21,9,30
"21A",55,53,109
"21A",31,27,58
"21A",73,18,91
"21A",68,28,96
"21A",43,40,83
"21A",52,35,87
"21A",212,94,306
"21A",54,33,87
